window_index,subject_id,window_start_time,window_end_time,window_start_sec,window_end_sec
0,0,0,60,0.0,120.0
1,0,30,90,60.0,180.0
2,0,60,120,120.0,240.0
3,0,90,150,180.0,300.0
4,0,120,180,240.0,360.0
5,0,150,210,300.0,420.0
6,0,180,240,360.0,480.0
7,0,210,270,420.0,540.0
8,0,240,300,480.0,600.0
9,0,270,330,540.0,660.0
10,1,0,60,0.0,120.0
11,1,30,90,60.0,180.0
12,1,60,120,120.0,240.0
13,1,90,150,180.0,300.0
14,1,120,180,240.0,360.0
15,1,150,210,300.0,420.0
16,1,180,240,360.0,480.0
17,1,210,270,420.0,540.0
18,1,240,300,480.0,600.0
19,1,270,330,540.0,660.0
20,2,0,60,0.0,120.0
21,2,30,90,60.0,180.0
22,2,60,120,120.0,240.0
23,2,90,150,180.0,300.0
24,2,120,180,240.0,360.0
25,2,150,210,300.0,420.0
26,2,180,240,360.0,480.0
27,2,210,270,420.0,540.0
28,2,240,300,480.0,600.0
29,2,270,330,540.0,660.0
30,3,0,60,0.0,120.0
31,3,30,90,60.0,180.0
32,3,60,120,120.0,240.0
33,3,90,150,180.0,300.0
34,3,120,180,240.0,360.0
35,3,150,210,300.0,420.0
36,3,180,240,360.0,480.0
37,3,210,270,420.0,540.0
38,3,240,300,480.0,600.0
39,3,270,330,540.0,660.0
40,4,0,60,0.0,120.0
41,4,30,90,60.0,180.0
42,4,60,120,120.0,240.0
43,4,90,150,180.0,300.0
44,4,120,180,240.0,360.0
45,4,150,210,300.0,420.0
46,4,180,240,360.0,480.0
47,4,210,270,420.0,540.0
48,4,240,300,480.0,600.0
49,4,270,330,540.0,660.0
50,5,0,60,0.0,120.0
51,5,30,90,60.0,180.0
52,5,60,120,120.0,240.0
53,5,90,150,180.0,300.0
54,5,120,180,240.0,360.0
55,5,150,210,300.0,420.0
56,5,180,240,360.0,480.0
57,5,210,270,420.0,540.0
58,5,240,300,480.0,600.0
59,5,270,330,540.0,660.0
60,6,0,60,0.0,120.0
61,6,30,90,60.0,180.0
62,6,60,120,120.0,240.0
63,6,90,150,180.0,300.0
64,6,120,180,240.0,360.0
65,6,150,210,300.0,420.0
66,6,180,240,360.0,480.0
67,6,210,270,420.0,540.0
68,6,240,300,480.0,600.0
69,6,270,330,540.0,660.0
